stim1,stim2,stim3,stim4,stim5,stim6,stim7,stim8,stim9,stim10,stim11,stim12
1,The,author,that,the,senators,hurt,is,good.,+
2,The,author,that,the,senators,hurt,are,good.,-
3,The,pilot,that,the,teachers,injured,brings,love,to,people.,+
4,The,pilot,that,the,teachers,injured,bring,love,to,people.,-
5,The,doctor,that,the,guards,doubted,interests,people.,+
6,The,doctor,that,the,guards,doubted,interest,people.,-
7,The,farmer,that,the,clerks,embarrassed,knows,many,people.,+
8,The,farmer,that,the,clerks,embarrassed,know,many,people.,-
9,The,manager,that,the,architects,disguised,likes,to,gamble.,+
10,The,manager,that,the,architects,disguised,like,to,gamble.,-
11,The,customer,that,the,athletes,hated,enjoys,playing,tennis.,+
12,The,customer,that,the,athletes,hated,enjoy,playing,tennis.,-
13,The,officer,that,the,actors,liked,is,good.,+
14,The,officer,that,the,actors,liked,are,good.,-
15,The,teacher,that,the,ministers,hurt,is,good.,+
16,The,teacher,that,the,ministers,hurt,are,good.,-
17,The,senator,that,the,actors,injured,is,good.,+
18,The,senator,that,the,actors,injured,are,good.,-
19,The,consultant,that,the,secretaries,doubted,is,good.,+
20,The,consultant,that,the,secretaries,doubted,are,good.,-
21,The,guard,that,the,executives,embarrassed,is,good.,+
22,The,guard,that,the,executives,embarrassed,are,good.,-
23,The,clerk,that,the,authors,disguised,is,good.,+
24,The,clerk,that,the,authors,disguised,are,good.,-
25,The,architect,that,the,pilots,hated,is,good.,+
26,The,architect,that,the,pilots,hated,are,good.,-
27,The,athlete,that,the,doctors,admired,brings,good,feelings.,+
28,The,athlete,that,the,doctors,admired,bring,good,feelings.,-
29,The,actor,that,the,farmers,hurt,interests,people.,+
30,The,actor,that,the,farmers,hurt,interest,people.,-
31,The,minister,that,the,managers,injured,knows,many,people.,+
32,The,minister,that,the,managers,injured,know,many,people.,-
33,The,taxi,driver,that,the,customers,doubted,likes,to,gamble.,+
34,The,taxi,driver,that,the,customers,doubted,like,to,gamble.,-
35,The,secretary,that,the,officers,embarrassed,enjoys,playing,tennis.,+
36,The,secretary,that,the,officers,embarrassed,enjoy,playing,tennis.,-
37,The,executive,that,the,teachers,disguised,is,good.,+
38,The,executive,that,the,teachers,disguised,are,good.,-
39,The,authors,that,the,senator,hurt,are,good.,+
40,The,authors,that,the,senator,hurt,is,good.,-
41,The,pilots,that,the,teacher,injured,bring,love,to,people.,+
42,The,pilots,that,the,teacher,injured,brings,love,to,people.,-
43,The,doctors,that,the,guard,doubted,interest,people.,+
44,The,doctors,that,the,guard,doubted,interests,people.,-
45,The,farmers,that,the,clerk,embarrassed,know,many,people.,+
46,The,farmers,that,the,clerk,embarrassed,knows,many,people.,-
47,The,managers,that,the,architect,disguised,like,to,gamble.,+
48,The,managers,that,the,architect,disguised,likes,to,gamble.,-
49,The,customers,that,the,athlete,hated,enjoy,playing,tennis.,+
50,The,customers,that,the,athlete,hated,enjoys,playing,tennis.,-
51,The,officers,that,the,actor,liked,are,good.,+
52,The,officers,that,the,actor,liked,is,good.,-
53,The,teachers,that,the,minister,hurt,are,good.,+
54,The,teachers,that,the,minister,hurt,is,good.,-
55,The,senators,that,the,actor,injured,are,good.,+
56,The,senators,that,the,actor,injured,is,good.,-
57,The,consultants,that,the,secretary,doubted,are,good.,+
58,The,consultants,that,the,secretary,doubted,is,good.,-
59,The,guards,that,the,executive,embarrassed,are,playing,tennis.,+
60,The,guards,that,the,executive,embarrassed,is,playing,tennis.,-
61,The,clerks,that,the,author,disguised,are,good.,+
62,The,clerks,that,the,author,disguised,is,good.,-
63,The,architects,that,the,pilot,hated,are,good.,+
64,The,architects,that,the,pilot,hated,is,good.,-
65,The,athletes,that,the,doctor,admired,bring,good,feelings.,+
66,The,athletes,that,the,doctor,admired,brings,good,feelings.,-
67,The,actors,that,the,farmer,hurt,interest,people.,+
68,The,actors,that,the,farmer,hurt,interests,people.,-
69,The,ministers,that,the,manager,injured,know,tennis.,+
70,The,ministers,that,the,manager,injured,knows,tennis.,-
71,The,taxi,drivers,that,the,customer,doubted,like,tennis.,+
72,The,taxi,drivers,that,the,customer,doubted,likes,tennis.,-
73,The,secretaries,that,the,officer,embarrassed,enjoy,tennis.,+
74,The,secretaries,that,the,officer,embarrassed,enjoys,tennis.,-
75,The,executives,that,the,teacher,disguised,are,good.,+
76,The,executives,that,the,teacher,disguised,is,good.,-
