stim1,stim2,stim3,stim4,stim5,stim6,stim7,stim8,stim9,stim10
1,The,worn,pants,weren't,big.,+
2,The,worn,pee,weren't,big.,-
3,The,forgotten,doctors,are,young.,+
4,The,forgotten,summers,are,young.,-
5,The,broken,tooth,wasn't,whole.,+
6,The,broken,dining,wasn't,whole.,-
7,The,worn,jacket,was,smooth.,+
8,The,worn,behalf,was,smooth.,-
9,The,forgotten,driver,wasn't,bad.,+
10,The,forgotten,shotgun,wasn't,bad.,-
11,The,worn,glasses,weren't,dirty.,+
12,The,worn,gothic,weren't,dirty.,-
13,The,worn,shirt,was,important.,+
14,The,worn,powder,was,important.,-
15,The,worn,skirts,weren't,green.,+
16,The,worn,syllables,weren't,green.,-
17,The,broken,plate,wasn't,smooth.,+
18,The,broken,investor,wasn't,smooth.,-
19,The,worn,skirts,weren't,purple.,+
20,The,worn,clamps,weren't,purple.,-
21,The,forgotten,pamphlets,weren't,concealed.,+
22,The,forgotten,helium,weren't,concealed.,-
23,The,forgotten,man,wasn't,serious.,+
24,The,forgotten,advice,wasn't,serious.,-
25,The,worn,shirt,was,lost.,+
26,The,worn,grocery,was,lost.,-
27,The,worn,shirt,wasn't,clean.,+
28,The,worn,starter,wasn't,clean.,-
29,The,forgotten,man,is,big.,+
30,The,forgotten,song,is,big.,-
31,The,worn,skirts,were,big.,+
32,The,worn,burrs,were,big.,-
33,The,worn,dress,was,clean.,+
34,The,worn,prompt,was,clean.,-
35,The,worn,hat,was,yellow.,+
36,The,worn,mean,was,yellow.,-
37,The,broken,cup,was,new.,+
38,The,broken,forum,was,new.,-
39,The,worn,hat,wasn't,big.,+
40,The,worn,bob,wasn't,big.,-
41,The,forgotten,actresses,were,nice.,+
42,The,forgotten,heavies,were,nice.,-
43,The,worn,skirts,were,old.,+
44,The,worn,dowries,were,old.,-
45,The,broken,screen,was,yellow.,+
46,The,broken,pitch,was,yellow.,-
47,The,forgotten,waiters,were,happy.,+
48,The,forgotten,neutrals,were,happy.,-
49,The,broken,vase,was,broken.,+
50,The,broken,scat,was,broken.,-
51,The,forgotten,children,weren't,upset.,+
52,The,forgotten,faults,weren't,upset.,-
53,The,broken,couch,wasn't,smooth.,+
54,The,broken,sending,wasn't,smooth.,-
55,The,broken,window,was,big.,+
56,The,broken,ghana,was,big.,-
57,The,worn,hat,is,smooth.,+
58,The,worn,art,is,smooth.,-
59,The,worn,scarf,wasn't,white.,+
60,The,worn,lu,wasn't,white.,-
61,The,forgotten,doctor,wasn't,unemployed.,+
62,The,forgotten,stopping,wasn't,unemployed.,-
63,The,forgotten,men,were,unconvinced.,+
64,The,forgotten,bars,were,unconvinced.,-
65,The,broken,plate,isn't,small.,+
66,The,broken,virgin,isn't,small.,-
67,The,worn,pants,weren't,cheap.,+
68,The,worn,noel,weren't,cheap.,-
69,The,broken,plate,is,gray.,+
70,The,broken,midnight,is,gray.,-
71,The,worn,jackets,weren't,out,in,the,open.,+
72,The,worn,chestnuts,weren't,out,in,the,open.,-
73,The,forgotten,teenager,was,unlucky.,+
74,The,forgotten,guidance,was,unlucky.,-
75,The,worn,dress,wasn't,rough.,+
76,The,worn,tenure,wasn't,rough.,-
77,The,broken,screen,was,broken.,+
78,The,broken,harmony,was,broken.,-
79,The,forgotten,drivers,were,hidden.,+
80,The,forgotten,illnesses,were,hidden.,-
81,The,forgotten,stories,are,bad.,+
82,The,forgotten,rolls,are,bad.,-
83,The,forgotten,person,isn't,exposed.,+
84,The,forgotten,strike,isn't,exposed.,-
85,The,forgotten,ladies,were,delighted.,+
86,The,forgotten,nuts,were,delighted.,-
87,The,broken,plate,is,white.,+
88,The,broken,mile,is,white.,-
