stim1,stim2,stim3,stim4,stim5,stim6,stim7,stim8,stim9,stim10,stim11
1,No,actor,complained,about,more,than,two,actresses.,+
2,No,ham,complained,about,more,than,two,actresses.,-
3,No,guest,was,touring,fewer,than,nine,schools.,+
4,No,surgeon,was,touring,fewer,than,nine,schools.,-
5,No,actor,had,driven,to,fewer,than,four,malls.,+
6,No,briefing,had,driven,to,fewer,than,four,malls.,-
7,No,pedestrian,is,observing,more,than,seven,waiters.,+
8,No,acoustic,is,observing,more,than,seven,waiters.,-
9,No,boy,could,reference,fewer,than,nine,drivers.,+
10,No,wine,could,reference,fewer,than,nine,drivers.,-
11,No,actor,has,sounded,like,more,than,nine,mountains.,+
12,No,cabin,has,sounded,like,more,than,nine,mountains.,-
13,No,wheelbarrow,does,hurt,more,than,nine,dancers.,+
14,No,staircase,does,hurt,more,than,nine,dancers.,-
15,No,man,has,revealed,more,than,five,forks.,+
16,No,attack,has,revealed,more,than,five,forks.,-
17,No,driver,was,researching,more,than,three,associations.,+
18,No,pursuit,was,researching,more,than,three,associations.,-
19,No,waiter,had,referenced,more,than,ten,teenagers.,+
20,No,herring,had,referenced,more,than,ten,teenagers.,-
21,No,adult,skated,around,more,than,seven,lakes.,+
22,No,plasma,skated,around,more,than,seven,lakes.,-
23,No,adult,is,passing,fewer,than,five,schools.,+
24,No,ring,is,passing,fewer,than,five,schools.,-
25,No,hamster,had,climbed,down,more,than,five,hills.,+
26,No,burlap,had,climbed,down,more,than,five,hills.,-
27,No,university,might,confuse,fewer,than,four,men.,+
28,No,distribution,might,confuse,fewer,than,four,men.,-
29,No,actor,could,approach,fewer,than,ten,waiters.,+
30,No,pencil,could,approach,fewer,than,ten,waiters.,-
