stim1,stim2,stim3,stim4,stim5,stim6,stim7,stim8,stim9,stim10,stim11,stim12,stim13,stim14,stim15,stim16,stim17,stim18,stim19,stim20,stim21
1,ιος,σαι,κακον,αδδακετ,"μανκαι,",τ̣[ος],νι,ζως,κ̣ε,πεις,κε,τιτετικμενος,ειτου.,+
2,ιος,σαι,κακον,αδδακετ,"μανκαι,",τ̣[ος],νι,ζως,κ̣ε,πεις,κε,τιττετικμ̣[ε]νοι,ειτου.,-
3,[ιο]ς,νι,σεμουν,κνουμανε,κ̣[ακον],αββερετ,ατ,νου[.],"μου[ρου]ν,",τος,νι,με,ζεμελος,κε,δεος,κ̣ε,τιη,τιττετικμενος,ε[ι]τ̣ου.,+
4,[ιο]ς,νι,σεμουν,κνουμανε,κ̣[ακον],αββερετ,ατ,νου[.],"μου[ρου]ν,",τος,νι,με,ζεμελος,κε,δεος,κ̣ε,τιη,τιττ[ετικμενοι,ε[ι]τ̣ου.,-
5,ιος,σαι,κακον,αδδακετ,"μανκαι,",τ̣[ος],νι,ζως,κ̣ε,πεις,κε,τιτετικμενος,ειτου.,+
6,ιος,σαι,κακον,αδδακετ,"μανκαι,",τ̣[ος],νι,ζως,κ̣ε,πεις,κε,τιττ[ετικμενοι,ειτου.,-
7,ιος,νι,σεμον,κνουμανει,κακον,αδ̣δακετ,[αινι]?,"μ̣αν̣και,",τ̣ο̣ς̣,ν̣ι̣,μ̣ε̣,[δ]ε̣[ως,κε,ζεμελως,κ]ε,Τιε,τιττετικμενος,ειτου.,+
8,ιος,νι,σεμον,κνουμανει,κακον,αδ̣δακετ,[αινι]?,"μ̣αν̣και,",τ̣ο̣ς̣,ν̣ι̣,μ̣ε̣,[δ]ε̣[ως,κε,ζεμελως,κ]ε,Τιε,τιττ[ετικμενοι,ειτου.,-
9,ιος,νι,σεμον,κνουμανει,κακον,αδ̣δακετ,[αινι]?,"μ̣αν̣και,",τ̣ο̣ς̣,ν̣ι̣,μ̣ε̣,[δ]ε̣[ως,κε,ζεμελως,κ]ε,Τιε,τιττετικμενος,ειτου.,+
10,ιος,νι,σεμον,κνουμανει,κακον,αδ̣δακετ,[αινι]?,"μ̣αν̣και,",τ̣ο̣ς̣,ν̣ι̣,μ̣ε̣,[δ]ε̣[ως,κε,ζεμελως,κ]ε,Τιε,τιττετικμ̣[ε]νοι,ειτου.,-
11,ιος,νι,σιμουν,κνουμανι,κακουν,αββιρετο,αινι,"μμυρα,",τος,νι,δ̣[ιως,ζ]ιμε̣λως,τι,μεκα,τ[ιε],τιττετικμενος,ειτου.,+
12,ιος,νι,σιμουν,κνουμανι,κακουν,αββιρετο,αινι,"μμυρα,",τος,νι,δ̣[ιως,ζ]ιμε̣λως,τι,μεκα,τ[ιε],τιττετικμ̣[ε]νοι,ειτου.,-
13,ιος,νι,σεμουν,κνουμανει,κακουν,αββερετοι,αινι,"ατεαμα,",τος,νι,με,σζεμελως,κε,τιε,κε,τιττετικμενος,ειτου,+
14,ιος,νι,σεμουν,κνουμανει,κακουν,αββερετοι,αινι,"ατεαμα,",τος,νι,με,σζεμελως,κε,τιε,κε,τιττετικμ̣[ε]νοι,ειτου,-
15,[ιο]ς,νι,σεμουν,κνουμανε,κ̣[ακον],αββερετ,ατ,νου[.],"μου[ρου]ν,",τος,νι,με,ζεμελος,κε,δεος,κ̣ε,τιη,τιττετικμενος,ε[ι]τ̣ου.,+
16,[ιο]ς,νι,σεμουν,κνουμανε,κ̣[ακον],αββερετ,ατ,νου[.],"μου[ρου]ν,",τος,νι,με,ζεμελος,κε,δεος,κ̣ε,τιη,τιττετικμ̣[ε]νοι,ε[ι]τ̣ου.,-
17,ιος,νι,σεμουν,κνουμανει,κακουν,αββερετοι,αινι,"ατεαμα,",τος,νι,με,σζεμελως,κε,τιε,κε,τιττετικμενος,ειτου,+
18,ιος,νι,σεμουν,κνουμανει,κακουν,αββερετοι,αινι,"ατεαμα,",τος,νι,με,σζεμελως,κε,τιε,κε,τιττ[ετικμενοι,ειτου,-
19,ιος,νι,σιμουν,κνουμανι,κακουν,αββιρετο,αινι,"μμυρα,",τος,νι,δ̣[ιως,ζ]ιμε̣λως,τι,μεκα,τ[ιε],τιττετικμενος,ειτου.,+
20,ιος,νι,σιμουν,κνουμανι,κακουν,αββιρετο,αινι,"μμυρα,",τος,νι,δ̣[ιως,ζ]ιμε̣λως,τι,μεκα,τ[ιε],τιττ[ετικμενοι,ειτου.,-
21,[ιος,σεμου]ν,κνουμανι,κακα,"[αδδακ]εν,",δεος,κε,ζεμ[ελος,κε],[---],α̣κε,οι,ειροι,α,τιε,τιττ[ετικμενοι,ειν]νου.,+
22,[ιος,σεμου]ν,κνουμανι,κακα,"[αδδακ]εν,",δεος,κε,ζεμ[ελος,κε],[---],α̣κε,οι,ειροι,α,τιε,τιττετικμενος,ειν]νου.,-
23,[ιος,σεμου]ν,κνουμανι,κακα,"[αδδακ]εν,",δεος,κε,ζεμ[ελος,κε],[---],α̣κε,οι,ειροι,α,τιε,τιττ[ετικμενοι,ειν]νου.,+
24,[ιος,σεμου]ν,κνουμανι,κακα,"[αδδακ]εν,",δεος,κε,ζεμ[ελος,κε],[---],α̣κε,οι,ειροι,α,τιε,τιτετικμενος,ειν]νου.,-
