stim1,stim2,stim3,stim4,stim5,stim6,stim7,stim8,stim9,stim10,stim11,stim12,stim13,stim14
1,There,weren't,about,to,be,few,prints,of,this,eggplant,scaring,Paula.,+
2,There,weren't,about,to,be,few,prints,of,this,eggplant,referring,Paula.,-
3,There,is,sure,to,be,chicken,falling.,+
4,There,is,sure,to,be,chicken,flipping.,-
5,There,is,sure,to,be,a,screen,dropping.,+
6,There,is,sure,to,be,a,screen,tanning.,-
7,There,were,certain,to,be,more,than,three,pictures,hurting,Sonia.,+
8,There,were,certain,to,be,more,than,three,pictures,thanking,Sonia.,-
9,There,were,unlikely,to,be,some,daughters,of,a,lot,of,ladies,climbing,up,the,slope.,+
10,There,were,unlikely,to,be,some,daughters,of,a,lot,of,ladies,knitting,up,the,slope.,-
11,There,were,likely,to,be,more,than,three,hats,annoying,Andrea.,+
12,There,were,likely,to,be,more,than,three,hats,flocking,Andrea.,-
13,There,isn't,unlikely,to,be,a,guest,expecting,all,companies,to,work,hard.,+
14,There,isn't,unlikely,to,be,a,guest,triggering,all,companies,to,work,hard.,-
15,There,isn't,unlikely,to,be,an,apple,impressing,Erin.,+
16,There,isn't,unlikely,to,be,an,apple,contradicting,Erin.,-
17,There,aren't,apt,to,be,many,birds,hurting,Lisa.,+
18,There,aren't,apt,to,be,many,birds,steadying,Lisa.,-
19,There,isn't,about,to,be,a,shoe,aggravating,some,libraries.,+
20,There,isn't,about,to,be,a,shoe,beholding,some,libraries.,-
21,There,are,unlikely,to,be,no,stories,about,the,Clintons,winning.,+
22,There,are,unlikely,to,be,no,stories,about,the,Clintons,numbering.,-
23,There,isn't,unlikely,to,be,an,art,gallery,aggravating,the,university.,+
24,There,isn't,unlikely,to,be,an,art,gallery,mistreating,the,university.,-
25,There,weren't,certain,to,be,brothers,of,Sharon,retaliating.,+
26,There,weren't,certain,to,be,brothers,of,Sharon,overdosing.,-
27,There,seemed,to,be,some,sons,of,Heidi,donating.,+
28,There,sounded,to,be,some,sons,of,Heidi,donating.,-
29,There,was,about,to,be,a,hospital,alarming,Jodi.,+
30,There,was,about,to,be,a,hospital,sorting,Jodi.,-
