stim1,stim2,stim3,stim4,stim5,stim6,stim7,stim8,stim9,stim10,stim11,stim12,stim13,stim14
1,The,grandsons,of,Douglas,chuckle.,+
2,The,grandsons,of,Douglas,frown.,-
3,The,mother,of,the,pedestrians,isn't,arriving,at,some,closets.,+
4,The,mother,of,the,pedestrians,isn't,attending,at,some,closets.,-
5,A,newspaper,article,about,the,Borgias,has,disagreed,with,Marcus.,+
6,A,newspaper,article,about,the,Borgias,has,collapsed,with,Marcus.,-
7,The,niece,of,most,guests,has,cleaned,every,college,campus.,+
8,The,niece,of,most,guests,has,harboured,every,college,campus.,-
9,The,grandfathers,of,Diana,drink.,+
10,The,grandfathers,of,Diana,cough.,-
11,A,cousin,of,a,lot,of,dancers,anticipates,Naomi,to,aggravate,Angela.,+
12,A,cousin,of,a,lot,of,dancers,disintegrates,Naomi,to,aggravate,Angela.,-
13,A,movie,about,the,Impressionists,hasn't,scared,Harvard,University.,+
14,A,movie,about,the,Impressionists,hasn't,mown,Harvard,University.,-
15,The,mother,of,those,dancers,has,researched,those,documentaries.,+
16,The,mother,of,those,dancers,has,released,those,documentaries.,-
17,The,sketches,of,some,dancer,do,bore,these,girls.,+
18,The,sketches,of,some,dancer,do,roast,these,girls.,-
19,A,son,of,some,actors,spurs,the,actress,to,aggravate,the,child.,+
20,A,son,of,some,actors,vomits,the,actress,to,aggravate,the,child.,-
21,The,daughters,of,Wayne,don't,exit,art,galleries.,+
22,The,daughters,of,Wayne,don't,predict,art,galleries.,-
23,The,book,about,the,Lutherans,does,sound,like,Guy.,+
24,The,book,about,the,Lutherans,does,begin,like,Guy.,-
25,The,sons,of,a,guy,do,fail,to,eat.,+
26,The,sons,of,a,guy,do,achieve,to,eat.,-
27,The,prints,of,that,high,school,are,impressing,Helen.,+
28,The,prints,of,that,high,school,are,commanding,Helen.,-
29,A,book,about,the,Impressionists,does,resemble,every,photograph.,+
30,A,book,about,the,Impressionists,does,express,every,photograph.,-
