stim1,stim2,stim3,stim4,stim5,stim6,stim7,stim8,stim9,stim10
1,Katherine,can't,help,herself.,+
3,Karla,could,listen,to,herself.,-
5,Marie,won't,think,about,herself.,+
7,Mark,hasn't,discussed,himself.,-
9,Stephen,impressed,himself.,+
11,Christina,boasts,about,herself.,-
13,Suzanne,would,irritate,herself.,+
15,Rose,couldn't,reference,herself.,-
17,Paul,should,stun,himself.,+
19,Kristen,praises,herself.,-
21,Tamara,might,work,with,herself.,+
23,Valerie,remembers,herself.,-
25,Kristen,hasn't,worked,with,herself.,+
27,Kendra,disturbed,herself.,-
29,Lawrence,had,boasted,about,himself.,+
31,Jason,wasn't,listening,to,himself.,-
33,Sabrina,disturbs,herself.,+
35,Some,essay,doesn't,disagree,with,itself.,-
37,Kenneth,wasn't,admiring,himself.,+
39,Melanie,had,referenced,herself.,-
41,Larry,reveals,himself.,+
43,Samantha,isn't,watching,herself.,-
45,Rachel,should,like,herself.,+
47,Heather,has,helped,herself.,-
49,Lori,has,found,herself.,+
51,Christina,hadn't,shocked,herself.,-
53,Theresa,wasn't,alarming,herself.,+
55,Jacqueline,works,with,herself.,-
57,Alan,hires,himself.,+
59,April,isn't,complaining,about,herself.,-
61,Scott,had,questioned,himself.,+
63,Wayne,helps,himself.,-
65,Amelia,heals,herself.,+
67,Debra,is,disgusting,herself.,-
69,Irene,has,admired,herself.,+
71,Brad,distracted,himself.,-
73,Sherry,wouldn't,cure,herself.,+
75,Ronald,upset,himself.,-
77,Catherine,hasn't,noticed,herself.,+
79,Susan,shouldn't,criticize,herself.,-
81,Dawn,has,described,herself.,+
83,Joseph,describes,himself.,-
85,Catherine,isn't,hurting,herself.,+
87,Tracy,alarmed,herself.,-
89,Heather,has,embarrassed,herself.,+
91,Sharon,hurt,herself.,-
93,Marie,might,admire,herself.,+
95,Susan,did,love,herself.,-
97,Russell,hasn't,hired,himself.,+
99,Every,man,insulted,himself.,-
101,Marie,had,insulted,herself.,+
103,Steve,wasn't,describing,himself.,-
105,Roger,had,known,himself.,+
107,Larry,boasts,about,himself.,-
109,Kayla,complains,about,herself.,+
111,A,bird,had,found,itself.,-
113,Ellen,wasn't,worrying,herself.,+
115,Debra,wasn't,investigating,herself.,-
117,Larry,referenced,himself.,+
119,Joel,does,complain,about,himself.,-
121,Gregory,won't,attack,himself.,+
123,Christine,hasn't,questioned,herself.,-
125,Natalie,returned,to,herself.,+
127,Becca,was,approaching,herself.,-
129,Rachelle,investigated,herself.,+
131,Sheila,saw,herself.,-
133,Jacqueline,likes,herself.,+
135,Douglas,healed,himself.,-
137,Colleen,wasn't,concealing,herself.,+
139,Catherine,disturbed,herself.,-
141,Some,company,astounded,itself.,+
143,Todd,likes,himself.,-
145,Tamara,couldn't,flee,from,herself.,+
147,Rose,praised,herself.,-
149,Joseph,isn't,annoying,himself.,+
151,Jodi,liked,herself.,-
153,Ronald,fled,from,himself.,+
155,Tina,fires,herself.,-
157,Michelle,saw,herself.,+
159,Renee,might,admire,herself.,-
161,A,girl,couldn't,reveal,herself.,+
163,Curtis,won't,describe,himself.,-
165,Patricia,does,respect,herself.,+
167,Valerie,forgets,herself.,-
169,Deborah,had,annoyed,herself.,+
171,Clyde,hasn't,hated,himself.,-
173,Andrea,does,kiss,herself.,+
175,Irene,isn't,irritating,herself.,-
177,Stacy,hadn't,sounded,like,herself.,+
179,Rose,has,shocked,herself.,-
181,George,wasn't,hurting,himself.,+
183,Amy,would,question,herself.,-
185,Tonya,sees,herself.,+
187,Christina,hasn't,hired,herself.,-
189,Pamela,did,reveal,herself.,+
191,Diane,had,concealed,herself.,-
193,Melinda,hasn't,argued,about,herself.,+
195,Deanna,insults,herself.,-
197,Gregory,isn't,hurting,himself.,+
199,Rebecca,should,shock,herself.,-
201,Amanda,stunned,herself.,+
203,That,dancer,wouldn't,aggravate,herself.,-
205,Colleen,talks,to,herself.,+
207,Brian,hasn't,healed,himself.,-
209,Natalie,is,curing,herself.,+
211,Rhonda,was,upsetting,herself.,-
213,Peter,wasn't,disgusting,himself.,+
215,Kristen,isn't,aggravating,herself.,-
217,Victoria,hid,herself.,+
219,Becca,has,seen,herself.,-
221,Sherry,can't,forget,herself.,+
223,Tracy,had,distracted,herself.,-
225,Stephanie,is,talking,to,herself.,+
227,Rachelle,might,return,to,herself.,-
229,Carl,describes,himself.,+
231,Jeffrey,didn't,describe,himself.,-
